Highest Offense Description,Latitude,Longitude,year
DWI,30.200441,-97.76444731,2022
AGG ASSAULT,30.16780849,-97.78480295,2022
FAMILY DISTURBANCE,30.126344,-97.79983585,2022
AUTO THEFT,30.2163855,-97.69335847,2022
FRAUD - OTHER,30.19061184,-97.7722943,2022
DRIVING WHILE INTOX / FELONY,30.1403564,-97.80051916,2022
CRIMINAL TRESPASS,30.33278091,-97.7050027,2022
CHILD CUSTODY INTERFERE,30.3190283,-97.65763354,2022
FAMILY DISTURBANCE,30.31090759,-97.68484155,2022
DATING DISTURBANCE,30.29246578,-97.72275227,2022
DISTURBANCE - OTHER,30.19061184,-97.7722943,2022
FAMILY DISTURBANCE,30.21500787,-97.78267097,2022
DISTURBANCE - OTHER,30.28593807,-97.70721628,2022
THEFT BY SHOPLIFTING,30.40007889,-97.72693605,2022
FAMILY DISTURBANCE,30.4737546,-97.81074807,2022
FORGERY AND PASSING,30.29760099,-97.77101464,2022
CRIMINAL TRESPASS,30.26427596,-97.73390689,2022
CRIMINAL MISCHIEF,30.40514245,-97.64220521,2022
BURGLARY OF VEHICLE,30.36438192,-97.7139738,2022
FAMILY DISTURBANCE,30.29726935,-97.70385255,2022
POSS OF DRUG PARAPHERNALIA,30.26826619,-97.6867243,2022
FAMILY DISTURBANCE,30.22350129,-97.72533837,2022
FAMILY DISTURBANCE,30.34882319,-97.67601201,2022
CRIMINAL TRESPASS,30.31255862,-97.66379797,2022
FORGERY AND PASSING,30.3920324,-97.72184897,2022
